country,day,domestic_flights,international_departures,international_arrivals,total_flights
Afghanistan,2020-02-16,0.0,,3.0,
Afghanistan,2020-03-21,0.0,2.0,5.0,7.0
Afghanistan,2020-03-24,0.0,5.0,1.0,6.0
Afghanistan,2020-04-03,0.0,1.0,7.0,8.0
Afghanistan,2020-04-22,0.0,0.0,1.0,1.0
Algeria,2020-02-01,2.0,34.0,29.0,65.0
Algeria,2020-02-03,0.0,36.0,39.0,75.0
Algeria,2020-02-10,1.0,43.0,42.0,86.0
Algeria,2020-02-11,0.0,37.0,34.0,71.0
Algeria,2020-02-14,1.0,44.0,51.0,96.0
Algeria,2020-02-20,1.0,42.0,27.0,70.0
Algeria,2020-02-22,9.0,56.0,50.0,115.0
Algeria,2020-02-23,6.0,48.0,49.0,103.0
Algeria,2020-02-24,7.0,44.0,52.0,103.0
Algeria,2020-02-25,4.0,48.0,44.0,96.0
Algeria,2020-02-29,6.0,54.0,52.0,112.0
Algeria,2020-03-01,4.0,43.0,29.0,76.0
Algeria,2020-03-03,0.0,36.0,21.0,57.0
Algeria,2020-03-05,1.0,46.0,36.0,83.0
Algeria,2020-03-07,1.0,38.0,19.0,58.0
Algeria,2020-03-09,0.0,42.0,15.0,57.0
Algeria,2020-03-10,1.0,33.0,34.0,68.0
Algeria,2020-03-11,2.0,32.0,24.0,58.0
Algeria,2020-03-12,1.0,41.0,35.0,77.0
Algeria,2020-03-13,1.0,42.0,25.0,68.0
Algeria,2020-03-14,2.0,43.0,34.0,79.0
Algeria,2020-03-15,2.0,43.0,32.0,77.0
Algeria,2020-03-17,1.0,26.0,11.0,38.0
Algeria,2020-03-18,1.0,4.0,1.0,6.0
Algeria,2020-04-08,0.0,3.0,4.0,7.0
Algeria,2020-04-09,2.0,3.0,2.0,7.0
Algeria,2020-04-16,4.0,3.0,3.0,10.0
Algeria,2020-04-17,4.0,2.0,1.0,7.0
Algeria,2020-04-18,3.0,2.0,,
Algeria,2020-04-29,1.0,2.0,1.0,4.0
Algeria,2020-04-30,2.0,5.0,4.0,11.0
Antigua and Barbuda,2020-02-01,0.0,0.0,1.0,1.0
Antigua and Barbuda,2020-02-02,0.0,0.0,2.0,2.0
Antigua and Barbuda,2020-02-06,0.0,0.0,4.0,4.0
Antigua and Barbuda,2020-02-13,0.0,1.0,3.0,4.0
Antigua and Barbuda,2020-02-14,0.0,0.0,5.0,5.0
Antigua and Barbuda,2020-02-15,0.0,0.0,1.0,1.0
Antigua and Barbuda,2020-02-17,0.0,0.0,2.0,2.0
Antigua and Barbuda,2020-02-22,0.0,1.0,2.0,3.0
Antigua and Barbuda,2020-02-23,0.0,0.0,0.0,0.0
Antigua and Barbuda,2020-02-25,0.0,0.0,4.0,4.0
Antigua and Barbuda,2020-02-27,0.0,0.0,3.0,3.0
Antigua and Barbuda,2020-03-03,0.0,0.0,0.0,0.0
Antigua and Barbuda,2020-03-04,0.0,2.0,1.0,3.0
Antigua and Barbuda,2020-03-05,0.0,1.0,6.0,7.0
Antigua and Barbuda,2020-03-06,0.0,0.0,5.0,5.0
Antigua and Barbuda,2020-03-11,0.0,1.0,2.0,3.0
Antigua and Barbuda,2020-03-12,0.0,1.0,3.0,4.0
Antigua and Barbuda,2020-03-13,0.0,1.0,0.0,1.0
Antigua and Barbuda,2020-03-17,0.0,0.0,2.0,2.0
Antigua and Barbuda,2020-03-18,0.0,0.0,2.0,2.0
Antigua and Barbuda,2020-03-25,0.0,0.0,1.0,1.0
Antigua and Barbuda,2020-03-26,0.0,0.0,1.0,1.0
Antigua and Barbuda,2020-03-29,0.0,0.0,0.0,0.0
Antigua and Barbuda,2020-03-31,0.0,0.0,2.0,2.0
Antigua and Barbuda,2020-04-02,0.0,0.0,1.0,1.0
Antigua and Barbuda,2020-04-06,0.0,0.0,1.0,1.0
Antigua and Barbuda,2020-04-08,0.0,0.0,1.0,1.0
Antigua and Barbuda,2020-04-09,0.0,0.0,0.0,0.0
Antigua and Barbuda,2020-04-11,0.0,1.0,0.0,1.0
Antigua and Barbuda,2020-04-15,0.0,0.0,1.0,1.0
Antigua and Barbuda,2020-04-16,0.0,0.0,1.0,1.0
Antigua and Barbuda,2020-04-18,0.0,0.0,0.0,0.0
Antigua and Barbuda,2020-04-24,0.0,0.0,3.0,3.0
Antigua and Barbuda,2020-04-25,0.0,0.0,1.0,1.0
Antigua and Barbuda,2020-04-26,0.0,0.0,0.0,0.0
Antigua and Barbuda,2020-04-27,0.0,0.0,0.0,0.0
Argentina,2020-02-01,3.0,45.0,58.0,106.0
Argentina,2020-02-03,1.0,6.0,14.0,21.0
Argentina,2020-02-04,0.0,48.0,51.0,99.0
Argentina,2020-02-05,0.0,53.0,57.0,110.0
Argentina,2020-02-06,4.0,52.0,56.0,112.0
Argentina,2020-02-07,4.0,58.0,62.0,124.0
Argentina,2020-02-08,4.0,62.0,64.0,130.0
Argentina,2020-02-09,5.0,56.0,57.0,118.0
Argentina,2020-02-10,3.0,64.0,63.0,130.0
Argentina,2020-02-11,0.0,59.0,58.0,117.0
Argentina,2020-02-12,0.0,55.0,56.0,111.0
Argentina,2020-02-13,0.0,56.0,56.0,112.0
Argentina,2020-02-14,2.0,59.0,62.0,123.0
Argentina,2020-02-15,2.0,45.0,47.0,94.0
Argentina,2020-02-16,5.0,59.0,61.0,125.0
Argentina,2020-02-17,5.0,62.0,55.0,122.0
Argentina,2020-02-18,5.0,51.0,49.0,105.0
Argentina,2020-02-19,1.0,59.0,61.0,121.0
Argentina,2020-02-20,2.0,57.0,55.0,114.0
Argentina,2020-02-21,5.0,62.0,65.0,132.0
Argentina,2020-02-22,5.0,66.0,69.0,140.0
Argentina,2020-02-23,2.0,60.0,61.0,123.0
Argentina,2020-02-24,0.0,67.0,61.0,128.0
Argentina,2020-02-25,2.0,45.0,44.0,91.0
Argentina,2020-02-26,2.0,19.0,22.0,43.0
Argentina,2020-02-27,1.0,55.0,61.0,117.0
Argentina,2020-02-28,2.0,59.0,62.0,123.0
Argentina,2020-02-29,4.0,64.0,65.0,133.0
Argentina,2020-03-02,0.0,2.0,2.0,4.0
Argentina,2020-03-03,0.0,,,
Argentina,2020-03-04,0.0,2.0,1.0,3.0
Argentina,2020-03-05,0.0,1.0,,
Argentina,2020-03-06,1.0,11.0,19.0,31.0
Argentina,2020-03-07,1.0,57.0,60.0,118.0
Argentina,2020-03-08,6.0,60.0,58.0,124.0
Argentina,2020-03-09,2.0,62.0,59.0,123.0
Argentina,2020-03-10,0.0,59.0,61.0,120.0
Argentina,2020-03-11,1.0,58.0,61.0,120.0
Argentina,2020-03-12,3.0,50.0,38.0,91.0
Argentina,2020-03-13,0.0,45.0,45.0,90.0
Argentina,2020-03-15,5.0,32.0,49.0,86.0
Argentina,2020-03-16,1.0,59.0,60.0,120.0
Argentina,2020-03-17,1.0,45.0,40.0,86.0
Argentina,2020-03-18,3.0,31.0,32.0,66.0
Argentina,2020-03-19,0.0,35.0,27.0,62.0
Argentina,2020-03-27,1.0,3.0,5.0,9.0
Argentina,2020-03-28,1.0,4.0,3.0,8.0
Argentina,2020-03-29,0.0,,5.0,
Argentina,2020-03-30,0.0,3.0,4.0,7.0
Argentina,2020-04-01,0.0,5.0,5.0,10.0
Argentina,2020-04-02,0.0,6.0,2.0,8.0
Argentina,2020-04-03,0.0,3.0,6.0,9.0
Argentina,2020-04-04,0.0,3.0,4.0,7.0
Argentina,2020-04-05,0.0,2.0,3.0,5.0
Argentina,2020-04-06,0.0,4.0,2.0,6.0
Argentina,2020-04-07,0.0,5.0,6.0,11.0
Argentina,2020-04-08,0.0,5.0,5.0,10.0
Argentina,2020-04-09,0.0,4.0,2.0,6.0
Argentina,2020-04-10,0.0,1.0,4.0,5.0
Argentina,2020-04-11,0.0,2.0,3.0,5.0
Argentina,2020-04-13,0.0,3.0,3.0,6.0
Argentina,2020-04-14,2.0,5.0,4.0,11.0
Argentina,2020-04-15,0.0,4.0,5.0,9.0
Argentina,2020-04-16,0.0,5.0,3.0,8.0
Argentina,2020-04-17,0.0,5.0,7.0,12.0
Argentina,2020-04-18,0.0,7.0,5.0,12.0
Argentina,2020-04-21,0.0,9.0,6.0,15.0
Argentina,2020-04-22,0.0,3.0,5.0,8.0
Argentina,2020-04-23,0.0,3.0,2.0,5.0
Argentina,2020-04-24,0.0,4.0,4.0,8.0
Argentina,2020-04-27,0.0,4.0,5.0,9.0
Argentina,2020-04-29,0.0,8.0,8.0,16.0
Argentina,2020-04-30,0.0,6.0,4.0,10.0
Armenia,2020-02-01,1.0,24.0,21.0,46.0
Armenia,2020-02-04,1.0,16.0,18.0,35.0
Armenia,2020-02-08,1.0,19.0,18.0,38.0
Armenia,2020-02-09,3.0,19.0,19.0,41.0
Armenia,2020-02-11,1.0,19.0,20.0,40.0
Armenia,2020-02-17,0.0,24.0,21.0,45.0
Armenia,2020-02-18,1.0,18.0,19.0,38.0
Armenia,2020-02-19,0.0,19.0,20.0,39.0
Armenia,2020-02-21,1.0,23.0,21.0,45.0
Armenia,2020-02-24,0.0,22.0,22.0,44.0
Armenia,2020-03-03,1.0,21.0,21.0,43.0
Armenia,2020-03-04,1.0,19.0,20.0,40.0
Armenia,2020-03-11,1.0,18.0,15.0,34.0
Armenia,2020-03-12,1.0,17.0,18.0,36.0
Armenia,2020-03-17,1.0,16.0,14.0,31.0
Armenia,2020-03-20,1.0,11.0,11.0,23.0
Armenia,2020-04-09,1.0,1.0,2.0,4.0
Aruba,2020-02-02,0.0,0.0,0.0,0.0
Aruba,2020-02-03,0.0,1.0,2.0,3.0
Aruba,2020-02-05,0.0,2.0,0.0,2.0
Aruba,2020-02-08,0.0,1.0,1.0,2.0
Aruba,2020-02-09,0.0,1.0,2.0,3.0
Aruba,2020-02-11,0.0,0.0,3.0,3.0
Aruba,2020-02-14,0.0,1.0,6.0,7.0
Aruba,2020-02-15,0.0,0.0,0.0,0.0
Aruba,2020-02-16,0.0,0.0,0.0,0.0
Aruba,2020-02-17,0.0,1.0,0.0,1.0
Aruba,2020-02-18,0.0,1.0,0.0,1.0
Aruba,2020-02-21,0.0,0.0,3.0,3.0
Aruba,2020-02-22,0.0,1.0,1.0,2.0
Aruba,2020-02-23,0.0,0.0,0.0,0.0
Aruba,2020-02-25,0.0,5.0,0.0,5.0
Aruba,2020-02-27,0.0,0.0,2.0,2.0
Aruba,2020-02-29,0.0,0.0,1.0,1.0
Aruba,2020-03-01,1.0,1.0,6.0,8.0
Aruba,2020-03-04,0.0,0.0,2.0,2.0
Aruba,2020-03-05,0.0,0.0,1.0,1.0
Aruba,2020-03-06,0.0,2.0,11.0,13.0
Aruba,2020-03-07,0.0,0.0,1.0,1.0
Aruba,2020-03-08,0.0,0.0,0.0,0.0
Aruba,2020-03-09,0.0,0.0,2.0,2.0
Aruba,2020-03-11,0.0,1.0,1.0,2.0
Aruba,2020-03-13,0.0,0.0,2.0,2.0
Aruba,2020-03-16,0.0,1.0,3.0,4.0
Aruba,2020-03-17,0.0,3.0,1.0,4.0
Aruba,2020-03-18,0.0,0.0,0.0,0.0
Aruba,2020-03-19,0.0,0.0,0.0,0.0
Aruba,2020-03-21,1.0,0.0,1.0,2.0
Aruba,2020-03-22,0.0,0.0,1.0,1.0
Aruba,2020-03-25,0.0,1.0,0.0,1.0
Aruba,2020-03-26,0.0,0.0,2.0,2.0
Aruba,2020-03-27,0.0,0.0,0.0,0.0
Aruba,2020-03-29,0.0,0.0,0.0,0.0
Aruba,2020-03-30,0.0,1.0,0.0,1.0
Aruba,2020-04-02,0.0,0.0,1.0,1.0
Aruba,2020-04-04,0.0,0.0,0.0,0.0
Aruba,2020-04-05,0.0,0.0,1.0,1.0
Aruba,2020-04-07,0.0,0.0,0.0,0.0
Aruba,2020-04-08,0.0,0.0,0.0,0.0
Aruba,2020-04-09,0.0,0.0,1.0,1.0
Aruba,2020-04-10,0.0,0.0,1.0,1.0
Aruba,2020-04-11,0.0,0.0,1.0,1.0
Aruba,2020-04-13,0.0,0.0,,
Aruba,2020-04-15,0.0,0.0,0.0,0.0
Aruba,2020-04-16,0.0,0.0,0.0,0.0
Aruba,2020-04-17,0.0,0.0,0.0,0.0
Aruba,2020-04-19,0.0,0.0,0.0,0.0
Aruba,2020-04-20,0.0,0.0,0.0,0.0
Aruba,2020-04-21,0.0,0.0,0.0,0.0
Aruba,2020-04-22,0.0,0.0,0.0,0.0
Aruba,2020-04-24,0.0,0.0,2.0,2.0
Aruba,2020-04-25,0.0,0.0,0.0,0.0
Aruba,2020-04-27,0.0,0.0,0.0,0.0
Aruba,2020-04-28,0.0,0.0,0.0,0.0
Australia,2020-02-01,612.0,192.0,181.0,985.0
Australia,2020-02-02,962.0,181.0,171.0,1314.0
Australia,2020-02-03,981.0,176.0,164.0,1321.0
Australia,2020-02-04,905.0,177.0,163.0,1245.0
Australia,2020-02-05,938.0,182.0,182.0,1302.0
Australia,2020-02-06,961.0,176.0,177.0,1314.0
Australia,2020-02-07,905.0,192.0,181.0,1278.0
Australia,2020-02-08,561.0,174.0,171.0,906.0
Australia,2020-02-09,776.0,183.0,184.0,1143.0
Australia,2020-02-10,970.0,179.0,175.0,1324.0
Australia,2020-02-11,885.0,172.0,160.0,1217.0
Australia,2020-02-12,933.0,177.0,172.0,1282.0
Australia,2020-02-13,1005.0,186.0,171.0,1362.0
Australia,2020-02-14,920.0,177.0,183.0,1280.0
Australia,2020-02-15,478.0,127.0,147.0,752.0
Australia,2020-02-16,981.0,187.0,172.0,1340.0
Australia,2020-02-17,980.0,176.0,160.0,1316.0
Australia,2020-02-18,914.0,175.0,161.0,1250.0
Australia,2020-02-19,923.0,174.0,169.0,1266.0
Australia,2020-02-20,1053.0,172.0,161.0,1386.0
Australia,2020-02-21,957.0,172.0,165.0,1294.0
Australia,2020-02-22,588.0,178.0,167.0,933.0
Australia,2020-02-23,984.0,187.0,174.0,1345.0
Australia,2020-02-24,993.0,174.0,170.0,1337.0
Australia,2020-02-25,925.0,166.0,152.0,1243.0
Australia,2020-02-26,969.0,166.0,157.0,1292.0
Australia,2020-02-27,1020.0,174.0,162.0,1356.0
Australia,2020-02-28,996.0,179.0,165.0,1340.0
Australia,2020-02-29,587.0,175.0,175.0,937.0
Australia,2020-03-01,1001.0,187.0,163.0,1351.0
Australia,2020-03-02,1029.0,169.0,154.0,1352.0
Australia,2020-03-03,912.0,156.0,147.0,1215.0
Australia,2020-03-04,952.0,163.0,161.0,1276.0
Australia,2020-03-05,984.0,178.0,159.0,1321.0
Australia,2020-03-06,933.0,177.0,167.0,1277.0
Australia,2020-03-07,616.0,149.0,133.0,898.0
Australia,2020-03-08,919.0,182.0,142.0,1243.0
Australia,2020-03-09,1017.0,137.0,122.0,1276.0
Australia,2020-03-10,985.0,153.0,132.0,1270.0
Australia,2020-03-11,992.0,147.0,157.0,1296.0
Australia,2020-03-12,1052.0,153.0,151.0,1356.0
Australia,2020-03-13,964.0,156.0,155.0,1275.0
Australia,2020-03-14,632.0,166.0,152.0,950.0
Australia,2020-03-15,945.0,160.0,156.0,1261.0
Australia,2020-03-16,932.0,143.0,146.0,1221.0
Australia,2020-03-17,807.0,141.0,140.0,1088.0
Australia,2020-03-18,776.0,140.0,131.0,1047.0
Australia,2020-03-19,813.0,130.0,127.0,1070.0
Australia,2020-03-20,744.0,121.0,118.0,983.0
Australia,2020-03-21,488.0,122.0,109.0,719.0
Australia,2020-03-22,695.0,98.0,92.0,885.0
Australia,2020-03-23,623.0,96.0,84.0,803.0
Australia,2020-03-24,527.0,79.0,61.0,667.0
Australia,2020-03-25,452.0,67.0,66.0,585.0
Australia,2020-03-26,440.0,47.0,46.0,533.0
Australia,2020-03-27,370.0,37.0,41.0,448.0
Australia,2020-03-28,201.0,49.0,47.0,297.0
Australia,2020-03-29,156.0,31.0,33.0,220.0
Australia,2020-03-30,208.0,32.0,31.0,271.0
Australia,2020-03-31,188.0,25.0,25.0,238.0
Australia,2020-04-01,187.0,29.0,27.0,243.0
Australia,2020-04-02,183.0,33.0,37.0,253.0
Australia,2020-04-03,142.0,36.0,38.0,216.0
Australia,2020-04-04,89.0,39.0,32.0,160.0
Australia,2020-04-05,117.0,43.0,31.0,191.0
Australia,2020-04-06,179.0,34.0,33.0,246.0
Australia,2020-04-07,167.0,27.0,30.0,224.0
Australia,2020-04-08,160.0,34.0,33.0,227.0
Australia,2020-04-09,116.0,30.0,26.0,172.0
Australia,2020-04-10,36.0,37.0,36.0,109.0
Australia,2020-04-11,28.0,35.0,29.0,92.0
Australia,2020-04-12,30.0,29.0,28.0,87.0
Australia,2020-04-13,51.0,33.0,24.0,108.0
Australia,2020-04-14,98.0,25.0,30.0,153.0
Australia,2020-04-15,91.0,38.0,38.0,167.0
Australia,2020-04-16,101.0,35.0,34.0,170.0
Australia,2020-04-17,89.0,36.0,34.0,159.0
Australia,2020-04-18,57.0,37.0,37.0,131.0
Australia,2020-04-19,50.0,32.0,30.0,112.0
Australia,2020-04-20,129.0,42.0,36.0,207.0
Australia,2020-04-21,115.0,25.0,26.0,166.0
Australia,2020-04-22,119.0,38.0,31.0,188.0
Australia,2020-04-23,113.0,27.0,31.0,171.0
Australia,2020-04-24,74.0,33.0,32.0,139.0
Australia,2020-04-25,46.0,41.0,37.0,124.0
Australia,2020-04-26,47.0,24.0,36.0,107.0
Australia,2020-04-27,124.0,45.0,33.0,202.0
Australia,2020-04-28,108.0,27.0,28.0,163.0
Australia,2020-04-29,121.0,30.0,34.0,185.0
Australia,2020-04-30,101.0,29.0,31.0,161.0
Austria,2020-02-01,4.0,268.0,300.0,572.0
Austria,2020-02-02,9.0,273.0,276.0,558.0
Austria,2020-02-03,8.0,287.0,301.0,596.0
Austria,2020-02-04,5.0,231.0,229.0,465.0
Austria,2020-02-05,2.0,273.0,268.0,543.0
Austria,2020-02-06,7.0,279.0,288.0,574.0
Austria,2020-02-07,5.0,313.0,325.0,643.0
Austria,2020-02-08,6.0,279.0,299.0,584.0
Austria,2020-02-09,14.0,251.0,263.0,528.0
Austria,2020-02-10,7.0,257.0,263.0,527.0
Austria,2020-02-11,12.0,239.0,243.0,494.0
Austria,2020-02-12,17.0,271.0,276.0,564.0
Austria,2020-02-13,17.0,292.0,290.0,599.0
Austria,2020-02-14,12.0,321.0,346.0,679.0
Austria,2020-02-15,8.0,297.0,310.0,615.0
Austria,2020-02-16,12.0,298.0,284.0,594.0
Austria,2020-02-17,14.0,294.0,311.0,619.0
Austria,2020-02-18,7.0,261.0,255.0,523.0
Austria,2020-02-19,11.0,296.0,296.0,603.0
Austria,2020-02-20,13.0,296.0,315.0,624.0
Austria,2020-02-21,7.0,333.0,342.0,682.0
Austria,2020-02-22,13.0,307.0,335.0,655.0
Austria,2020-02-23,7.0,301.0,303.0,611.0
Austria,2020-02-24,10.0,310.0,314.0,634.0
Austria,2020-02-25,4.0,271.0,273.0,548.0
Austria,2020-02-26,7.0,295.0,294.0,596.0
Austria,2020-02-27,9.0,292.0,300.0,601.0
Austria,2020-02-28,9.0,324.0,322.0,655.0
Austria,2020-02-29,10.0,287.0,338.0,635.0
Austria,2020-03-01,12.0,290.0,306.0,608.0
Austria,2020-03-02,18.0,308.0,321.0,647.0
Austria,2020-03-03,12.0,263.0,270.0,545.0
Austria,2020-03-04,10.0,308.0,314.0,632.0
Austria,2020-03-05,7.0,301.0,312.0,620.0
Austria,2020-03-06,18.0,310.0,322.0,650.0
Austria,2020-03-07,13.0,254.0,300.0,567.0
Austria,2020-03-08,7.0,267.0,280.0,554.0
Austria,2020-03-09,4.0,268.0,264.0,536.0
Austria,2020-03-10,4.0,214.0,211.0,429.0
Austria,2020-03-11,9.0,229.0,242.0,480.0
Austria,2020-03-12,7.0,226.0,237.0,470.0
Austria,2020-03-13,6.0,263.0,271.0,540.0
Austria,2020-03-14,7.0,234.0,267.0,508.0
Austria,2020-03-15,6.0,216.0,235.0,457.0
Austria,2020-03-16,4.0,173.0,176.0,353.0
Austria,2020-03-17,0.0,99.0,103.0,202.0
Austria,2020-03-18,7.0,92.0,92.0,191.0
Austria,2020-03-19,6.0,57.0,58.0,121.0
Austria,2020-03-20,4.0,63.0,59.0,126.0
Austria,2020-03-21,2.0,33.0,33.0,68.0
Austria,2020-03-22,8.0,30.0,36.0,74.0
Austria,2020-03-23,6.0,29.0,29.0,64.0
Austria,2020-03-24,5.0,23.0,22.0,50.0
Austria,2020-03-25,6.0,21.0,25.0,52.0
Austria,2020-03-26,7.0,26.0,30.0,63.0
Austria,2020-03-27,2.0,24.0,24.0,50.0
Austria,2020-03-28,0.0,14.0,16.0,30.0
Austria,2020-03-29,0.0,14.0,15.0,29.0
Austria,2020-03-30,3.0,16.0,13.0,32.0
Austria,2020-03-31,4.0,15.0,20.0,39.0
Austria,2020-04-01,5.0,21.0,31.0,57.0
Austria,2020-04-02,5.0,20.0,21.0,46.0
Austria,2020-04-03,4.0,15.0,15.0,34.0
Austria,2020-04-04,1.0,11.0,9.0,21.0
Austria,2020-04-05,0.0,7.0,9.0,16.0
Austria,2020-04-06,0.0,14.0,12.0,26.0
Austria,2020-04-07,0.0,16.0,16.0,32.0
Austria,2020-04-08,4.0,21.0,17.0,42.0
Austria,2020-04-09,4.0,15.0,16.0,35.0
Austria,2020-04-10,1.0,13.0,14.0,28.0
Austria,2020-04-11,3.0,12.0,10.0,25.0
Austria,2020-04-12,2.0,12.0,14.0,28.0
Austria,2020-04-13,1.0,9.0,12.0,22.0
Austria,2020-04-14,0.0,17.0,18.0,35.0
Austria,2020-04-15,2.0,21.0,23.0,46.0
Austria,2020-04-16,4.0,24.0,24.0,52.0
Austria,2020-04-17,5.0,14.0,14.0,33.0
Austria,2020-04-18,2.0,15.0,13.0,30.0
Austria,2020-04-20,1.0,14.0,11.0,26.0
Austria,2020-04-21,1.0,16.0,16.0,33.0
Austria,2020-04-22,3.0,25.0,20.0,48.0
Austria,2020-04-23,0.0,18.0,16.0,34.0
Austria,2020-04-24,4.0,19.0,23.0,46.0
Austria,2020-04-25,0.0,8.0,9.0,17.0
Austria,2020-04-26,1.0,15.0,16.0,32.0
Austria,2020-04-27,3.0,14.0,11.0,28.0
Austria,2020-04-28,1.0,18.0,21.0,40.0
Austria,2020-04-29,1.0,26.0,23.0,50.0
Austria,2020-04-30,3.0,29.0,28.0,60.0
Bahamas,2020-02-03,0.0,0.0,3.0,3.0
Bahamas,2020-02-04,0.0,0.0,2.0,2.0
Bahamas,2020-02-05,0.0,3.0,4.0,7.0
Bahamas,2020-02-20,1.0,2.0,4.0,7.0
Bahamas,2020-02-21,0.0,3.0,3.0,6.0
Bahamas,2020-03-14,0.0,0.0,9.0,9.0
Bahamas,2020-03-27,0.0,0.0,1.0,1.0
Bahamas,2020-03-31,0.0,0.0,1.0,1.0
Bahamas,2020-04-01,0.0,0.0,2.0,2.0
Bahamas,2020-04-04,0.0,0.0,3.0,3.0
Bahamas,2020-04-05,0.0,0.0,0.0,0.0
Bahamas,2020-04-10,0.0,0.0,16.0,16.0
Bahamas,2020-04-11,0.0,0.0,6.0,6.0
Bahamas,2020-04-16,0.0,0.0,7.0,7.0
Bahamas,2020-04-17,0.0,0.0,14.0,14.0
Bahamas,2020-04-18,0.0,0.0,3.0,3.0
Bahamas,2020-04-20,0.0,0.0,3.0,3.0
Bahamas,2020-04-21,0.0,0.0,10.0,10.0
Bahamas,2020-04-22,0.0,0.0,3.0,3.0
Bahamas,2020-04-23,0.0,0.0,1.0,1.0
Bahamas,2020-04-24,0.0,0.0,4.0,4.0
Bahamas,2020-04-25,0.0,0.0,1.0,1.0
Bahamas,2020-04-28,0.0,0.0,5.0,5.0
Bahamas,2020-04-29,0.0,0.0,6.0,6.0
Bahamas,2020-04-30,0.0,1.0,7.0,8.0
Bahrain,2020-02-01,2.0,51.0,51.0,104.0
Bahrain,2020-02-02,1.0,49.0,49.0,99.0
Bahrain,2020-02-03,1.0,50.0,45.0,96.0
Bahrain,2020-02-04,1.0,52.0,48.0,101.0
Bahrain,2020-02-05,2.0,59.0,57.0,118.0
Bahrain,2020-02-06,1.0,55.0,54.0,110.0
Bahrain,2020-02-07,2.0,44.0,37.0,83.0
Bahrain,2020-02-08,2.0,42.0,43.0,87.0
Bahrain,2020-02-09,1.0,54.0,44.0,99.0
Bahrain,2020-02-10,1.0,51.0,45.0,97.0
Bahrain,2020-02-11,1.0,41.0,42.0,84.0
Bahrain,2020-02-12,1.0,54.0,47.0,102.0
Bahrain,2020-02-13,4.0,46.0,53.0,103.0
Bahrain,2020-02-14,1.0,51.0,43.0,95.0
Bahrain,2020-02-18,0.0,51.0,49.0,100.0
Bahrain,2020-02-20,1.0,53.0,54.0,108.0
Bahrain,2020-02-21,1.0,51.0,47.0,99.0
Bahrain,2020-02-22,2.0,53.0,53.0,108.0
Bahrain,2020-02-23,3.0,57.0,49.0,109.0
Bahrain,2020-02-24,1.0,54.0,56.0,111.0
Bahrain,2020-02-25,5.0,23.0,27.0,55.0
Bahrain,2020-02-26,1.0,44.0,36.0,81.0
Bahrain,2020-02-27,5.0,37.0,35.0,77.0
Bahrain,2020-02-28,4.0,32.0,29.0,65.0
Bahrain,2020-02-29,3.0,39.0,36.0,78.0
Bahrain,2020-03-01,2.0,40.0,37.0,79.0
Bahrain,2020-03-02,1.0,36.0,36.0,73.0
Bahrain,2020-03-03,1.0,28.0,33.0,62.0
Bahrain,2020-03-04,0.0,38.0,38.0,76.0
Bahrain,2020-03-05,2.0,34.0,37.0,73.0
Bahrain,2020-03-06,2.0,37.0,33.0,72.0
Bahrain,2020-03-07,1.0,39.0,38.0,78.0
Bahrain,2020-03-08,2.0,38.0,35.0,75.0
Bahrain,2020-03-09,3.0,26.0,25.0,54.0
Bahrain,2020-03-10,4.0,28.0,22.0,54.0
Bahrain,2020-03-11,3.0,29.0,26.0,58.0
Bahrain,2020-03-12,3.0,32.0,30.0,65.0
Bahrain,2020-03-13,1.0,34.0,27.0,62.0
Bahrain,2020-03-14,1.0,28.0,29.0,58.0
Bahrain,2020-03-15,3.0,38.0,25.0,66.0
Bahrain,2020-03-16,1.0,30.0,26.0,57.0
Bahrain,2020-03-17,4.0,24.0,22.0,50.0
Bahrain,2020-03-18,3.0,22.0,21.0,46.0
Bahrain,2020-03-20,1.0,17.0,12.0,30.0
Bahrain,2020-03-22,1.0,14.0,13.0,28.0
Bahrain,2020-03-23,2.0,12.0,14.0,28.0
Bahrain,2020-03-26,1.0,8.0,7.0,16.0
Bahrain,2020-03-28,1.0,13.0,12.0,26.0
Bahrain,2020-03-29,4.0,16.0,15.0,35.0
Bahrain,2020-03-30,2.0,8.0,9.0,19.0
Bahrain,2020-04-01,3.0,13.0,13.0,29.0
Bahrain,2020-04-02,1.0,13.0,15.0,29.0
Bahrain,2020-04-04,1.0,9.0,9.0,19.0
Bahrain,2020-04-05,2.0,13.0,14.0,29.0
Bahrain,2020-04-06,2.0,5.0,8.0,15.0
Bahrain,2020-04-07,1.0,13.0,10.0,24.0
Bahrain,2020-04-09,1.0,10.0,10.0,21.0
Bahrain,2020-04-10,1.0,10.0,11.0,22.0
Bahrain,2020-04-12,1.0,15.0,14.0,30.0
Bahrain,2020-04-13,2.0,4.0,8.0,14.0
Bahrain,2020-04-14,6.0,9.0,11.0,26.0
Bahrain,2020-04-15,4.0,9.0,13.0,26.0
Bahrain,2020-04-16,3.0,11.0,16.0,30.0
Bahrain,2020-04-17,1.0,11.0,11.0,23.0
Bahrain,2020-04-19,4.0,19.0,17.0,40.0
Bahrain,2020-04-20,5.0,11.0,10.0,26.0
Bahrain,2020-04-21,1.0,10.0,11.0,22.0
Bahrain,2020-04-22,2.0,15.0,15.0,32.0
Bahrain,2020-04-23,2.0,15.0,15.0,32.0
Bahrain,2020-04-25,2.0,14.0,15.0,31.0
